Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),date
2023-01-01 00:00:00,84.71,142.87,4.73,20.93,13.36,11.79,0.49,0.6,31.26,0.0,0.0,,,0.01,,16.95,90.01,0.48,117.08,0.0,0.0,12.02,895.4,,2023-01-01 00:00:00
2023-01-01 08:00:00,61.27,106.82,4.73,29.23,17.78,12.64,1.37,0.56,32.5,0.0,0.0,,,0.01,,26.49,44.71,0.85,110.24,0.0,0.0,405.3,913.54,,2023-01-01 08:00:00
2023-01-01 16:00:00,53.44,94.76,4.73,16.69,11.11,11.47,1.28,0.71,30.22,0.0,0.0,,,0.01,,23.63,52.03,0.84,90.84,0.0,0.0,24.38,906.54,,2023-01-01 16:00:00
2023-01-02 00:00:00,91.08,152.68,4.73,15.25,10.34,11.94,2.0,0.49,30.88,0.0,0.0,,,0.01,,18.22,81.76,0.77,81.89,0.0,0.0,11.15,897.63,,2023-01-02 00:00:00
2023-01-02 08:00:00,30.04,58.77,4.73,12.7,8.99,11.64,2.29,0.63,31.43,0.0,0.0,,,0.01,,25.75,41.83,1.2,71.34,0.0,0.0,417.06,912.94,,2023-01-02 08:00:00
2023-01-02 16:00:00,50.34,90.0,4.73,13.94,9.64,11.45,1.41,0.59,32.15,0.0,0.0,,,0.01,0.01,22.7,54.75,0.97,94.48,0.0,0.0,25.38,905.53,,2023-01-02 16:00:00
2023-01-03 00:00:00,83.67,141.28,4.73,12.43,8.84,11.94,0.42,0.39,32.07,0.0,0.0,,,0.01,,17.17,88.81,0.55,88.8,0.0,0.0,11.38,895.79,,2023-01-03 00:00:00
2023-01-03 08:00:00,32.15,62.02,4.73,8.96,7.0,11.63,1.33,0.48,31.72,0.0,0.0,,,0.01,0.01,24.56,52.92,1.15,66.16,0.0,0.0,349.88,910.67,,2023-01-03 08:00:00
2023-01-03 16:00:00,54.52,96.42,4.73,15.57,10.51,11.37,1.39,0.67,31.99,0.0,0.0,,,0.01,,22.29,59.85,0.93,87.08,0.0,0.0,24.15,904.42,,2023-01-03 16:00:00
2023-01-04 00:00:00,77.96,132.5,4.73,9.09,7.07,12.38,0.72,0.29,32.5,0.0,0.0,,,0.01,,18.61,82.34,1.04,65.54,0.0,0.0,11.1,898.14,,2023-01-04 00:00:00
2023-01-04 08:00:00,38.08,71.13,4.73,10.0,7.55,11.75,2.51,0.52,31.83,0.0,0.0,,,0.01,,24.26,51.73,1.29,77.11,0.0,0.0,381.28,910.2,,2023-01-04 08:00:00
2023-01-04 16:00:00,67.31,116.1,4.73,15.99,10.73,11.58,1.75,0.62,31.66,0.0,0.0,,,,0.01,22.1,59.32,1.08,91.83,0.0,0.0,23.52,904.19,,2023-01-04 16:00:00
2023-01-05 00:00:00,69.09,118.85,4.73,6.6,5.74,12.23,0.48,0.37,31.34,0.0,0.0,,,0.01,,18.34,81.38,1.16,79.32,0.0,0.0,10.81,897.87,,2023-01-05 00:00:00
2023-01-05 08:00:00,32.04,61.85,4.73,7.93,6.45,11.5,1.12,0.52,30.99,0.0,0.0,,,0.01,0.01,22.89,60.06,1.4,72.26,0.0,0.0,271.92,907.41,,2023-01-05 08:00:00
2023-01-05 16:00:00,57.56,101.11,4.73,12.43,8.84,11.52,1.44,0.6,31.6,0.0,0.0,,,0.01,0.01,22.08,64.31,1.07,82.95,0.0,0.0,27.84,904.0,,2023-01-05 16:00:00
2023-01-06 00:00:00,70.48,120.98,4.73,10.86,8.01,12.05,0.65,0.17,32.49,0.0,0.0,,,,,18.01,82.48,0.95,63.17,0.0,0.0,12.7,897.46,,2023-01-06 00:00:00
2023-01-06 08:00:00,39.89,73.93,4.73,11.38,8.28,11.53,1.23,0.33,32.17,0.0,0.0,,,,,24.52,52.23,1.7,69.67,0.0,0.0,387.47,909.86,,2023-01-06 08:00:00
2023-01-06 16:00:00,56.48,99.45,4.73,13.58,9.46,11.54,1.08,0.3,32.41,0.0,0.0,,,0.01,0.01,22.32,63.79,1.49,69.22,0.0,0.0,24.78,904.95,,2023-01-06 16:00:00
2023-01-07 00:00:00,81.15,137.39,4.73,7.28,6.1,12.3,0.96,0.34,32.98,0.0,0.0,,,0.01,,18.27,82.01,1.09,68.79,0.0,0.0,11.17,897.79,,2023-01-07 00:00:00
2023-01-07 08:00:00,46.57,84.2,4.73,7.41,6.17,11.62,1.15,0.44,33.17,0.0,0.0,,,,0.01,23.64,56.86,1.45,62.64,0.0,0.0,344.75,908.45,,2023-01-07 08:00:00
2023-01-07 16:00:00,70.38,120.84,4.73,13.67,9.5,11.54,2.09,0.58,31.87,0.0,0.0,,,0.01,,22.98,59.34,1.05,69.54,0.0,0.0,18.69,905.72,,2023-01-07 16:00:00
2023-01-08 00:00:00,54.98,97.14,4.73,7.52,6.23,12.25,0.49,0.32,32.48,0.0,0.0,,,0.01,,18.84,83.58,1.0,64.07,0.0,0.0,10.43,898.98,,2023-01-08 00:00:00
2023-01-08 08:00:00,67.64,116.62,4.73,8.5,6.75,11.91,0.63,0.53,32.13,0.0,0.0,,,0.01,0.01,24.26,53.01,1.16,67.67,0.0,0.0,358.11,909.24,,2023-01-08 08:00:00
2023-01-08 16:00:00,85.79,144.54,4.73,31.58,19.03,10.75,0.94,1.04,30.93,0.0,0.0,,,0.01,0.01,21.66,60.34,0.71,63.14,0.0,0.0,25.16,903.6,,2023-01-08 16:00:00
2023-01-09 00:00:00,109.96,181.72,4.73,7.72,6.34,12.58,1.07,0.5,31.8,0.0,0.0,,,,0.01,17.25,78.45,0.74,77.46,0.0,0.0,10.93,896.47,,2023-01-09 00:00:00
2023-01-09 08:00:00,66.67,115.13,4.73,9.85,7.47,11.68,2.59,0.76,32.16,0.0,0.0,,,,,24.75,35.47,1.09,50.84,0.0,0.0,418.67,911.29,,2023-01-09 08:00:00
2023-01-09 16:00:00,61.97,107.9,4.73,30.75,18.58,10.71,1.23,1.11,32.21,0.0,0.0,,,0.01,0.01,20.94,43.38,0.73,69.31,0.0,0.0,26.13,902.7,,2023-01-09 16:00:00
2023-01-10 00:00:00,78.12,132.74,4.73,9.6,7.34,12.74,0.68,0.09,31.01,0.0,0.0,,,0.01,0.01,15.86,83.12,0.73,77.35,0.0,0.0,10.68,893.77,,2023-01-10 00:00:00
2023-01-10 08:00:00,41.24,76.0,4.73,10.53,7.83,11.99,2.51,0.3,30.88,0.0,0.0,,,0.01,,24.2,40.95,1.25,59.02,0.0,0.0,429.08,910.25,,2023-01-10 08:00:00
2023-01-10 16:00:00,52.25,92.94,4.73,13.63,9.48,11.64,1.86,0.34,31.36,0.0,0.0,,,0.01,,22.21,50.61,0.96,88.66,0.0,0.0,27.81,904.67,,2023-01-10 16:00:00
2023-01-11 00:00:00,71.4,122.4,4.73,15.66,10.56,12.05,0.5,0.59,31.06,0.0,0.0,,,,0.01,15.33,86.38,0.6,99.77,0.0,0.0,11.62,892.9,,2023-01-11 00:00:00
2023-01-11 08:00:00,82.47,158.92,4.73,20.38,13.07,12.2,1.43,0.6,30.31,0.0,0.0,,,,,25.49,28.6,0.98,65.12,0.0,0.0,424.23,910.87,,2023-01-11 08:00:00
2023-01-11 16:00:00,41.52,104.66,4.73,35.78,21.26,11.12,1.16,0.75,32.35,0.0,0.0,,,0.01,0.01,21.62,40.11,0.69,85.33,0.0,0.0,27.67,903.02,,2023-01-11 16:00:00
